iter	Logloss
0	0.6818528281
1	0.6701616224
2	0.6602704525
3	0.6489364908
4	0.6364566596
5	0.6266333619
6	0.6170713516
7	0.6076286681
8	0.5989052934
9	0.5877244069
10	0.5793864149
11	0.5714747432
12	0.5635989694
13	0.5558246935
14	0.546917272
15	0.5392809125
16	0.5309777996
17	0.5235367444
18	0.5153375619
19	0.5084425395
20	0.5015334312
21	0.4939297368
22	0.4877650203
23	0.4823479591
24	0.4762965493
25	0.4706718983
26	0.4653551517
27	0.4589394375
28	0.453334491
29	0.4479080903
30	0.4410270382
31	0.4359517492
32	0.4306182318
33	0.4253686141
34	0.4195934674
35	0.4142143788
36	0.4078114567
37	0.4035669031
38	0.3994902031
39	0.3920883466
40	0.3883228179
41	0.383222012
42	0.3788530599
43	0.3753284286
44	0.370675016
45	0.3673384698
46	0.3619811666
47	0.3588394058
48	0.3553429553
49	0.3514018962
50	0.3481467393
51	0.3450953496
52	0.3420047436
53	0.3377557809
54	0.3337133676
55	0.3299225858
56	0.3272670832
57	0.3243502869
58	0.3213567558
59	0.3183922978
60	0.3141219879
61	0.3106380438
62	0.3084880228
63	0.3053059793
64	0.3023248793
65	0.2997992087
66	0.2978901188
67	0.2959256295
68	0.2938072156
69	0.2907389385
70	0.2890774529
71	0.285181564
72	0.2832015867
73	0.2814652845
74	0.2796636513
75	0.2770850045
76	0.2752409095
77	0.2735972045
78	0.2710548793
79	0.2679056262
80	0.2660597366
81	0.2636231403
82	0.2610054608
83	0.2591938017
84	0.2576371672
85	0.2563721928
86	0.2519039683
87	0.2501436546
88	0.248965468
89	0.2466328639
90	0.2450820598
91	0.2433201723
92	0.2418394829
93	0.237929271
94	0.236752812
95	0.2348857027
96	0.2336539166
97	0.2314733341
98	0.2294927038
99	0.2276918757
