iter	Passed	Remaining
0	128	12762
1	132	6491
2	136	4411
3	138	3333
4	142	2706
5	145	2287
6	149	1985
7	151	1741
8	154	1558
9	157	1417
10	160	1302
11	164	1203
12	166	1116
13	170	1044
14	173	982
15	176	927
16	179	877
17	181	827
18	184	788
19	188	752
20	191	719
21	194	688
22	197	661
23	202	639
24	205	615
25	208	592
26	210	569
27	211	544
28	213	523
29	216	504
30	218	485
31	221	470
32	224	456
33	226	440
34	230	427
35	232	413
36	234	398
37	236	386
38	240	375
39	243	365
40	246	354
41	253	349
42	257	340
43	260	331
44	263	322
45	267	313
46	269	303
47	271	294
48	275	287
49	279	279
50	281	270
51	283	262
52	286	254
53	291	247
54	293	240
55	295	232
56	297	224
57	300	217
58	302	210
59	304	203
60	306	196
61	308	189
62	311	182
63	313	176
64	316	170
65	319	164
66	321	158
67	323	152
68	326	146
69	330	141
70	333	136
71	337	131
72	341	126
73	344	121
74	347	115
75	351	110
76	354	105
77	358	100
78	361	96
79	363	90
80	366	86
81	370	81
82	373	76
83	376	71
84	380	67
85	384	62
86	386	57
87	391	53
88	395	48
89	399	44
90	404	39
91	406	35
92	409	30
93	414	26
94	417	21
95	420	17
96	423	13
97	427	8
98	430	4
99	434	0
